temperature_degree,location
10.2,Hurn
9.2,Hurn
10.35,Hurn
12.75,Hurn
13,Hurn
14,Hurn
12.55,Hurn
13.55,Hurn
12.75,Hurn
17.45,Hurn
17.2,Hurn
14.55,Hurn
15.85,Hurn
17.05,Hurn
18.55,Hurn
20.15,Hurn
17.75,Hurn
15.35,Hurn
14.1,Hurn
14.7,Hurn
15.45,Hurn
18.1,Hurn
19.75,Hurn
20.35,Hurn
16.7,Hurn
15.1,Hurn
18,Hurn
18.5,Hurn
16,Hurn
16.15,Hurn
16.3,Hurn
17.55,Hurn
15.15,Hurn
16.15,Hurn
15.85,Hurn
15.3,Hurn
17.15,Hurn
14.6,Hurn
15.75,Hurn
15.6,Hurn
15.1,Hurn
14.05,Hurn
13.25,Hurn
18.55,Hurn
18.25,Hurn
17.7,Hurn
15.5,Hurn
20.5,Hurn
18,Hurn
19.65,Hurn
17.4,Hurn
14.1,Hurn
12.8,Hurn
13.9,Hurn
12.35,Hurn
11.05,Hurn
14.6,Hurn
12.35,Hurn
11.35,Hurn
16.35,Hurn
18.8,Hurn
17,Hurn
16.6,Hurn
15.9,Hurn
20.2,Hurn
18.9,Hurn
16.3,Hurn
19.95,Hurn
20,Hurn
17.8,Hurn
16.4,Hurn
13.9,Hurn
15.25,Hurn
15.85,Hurn
15.6,Hurn
15.75,Hurn
18.25,Hurn
15.3,Hurn
15.95,Hurn
18.5,Hurn
18.3,Hurn
18.4,Hurn
12.6,Hurn
17.05,Hurn
13.75,Hurn
15.65,Hurn
12.65,Hurn
14.9,Hurn
17.05,Hurn
15.8,Hurn
18,Hurn
14.45,Hurn
14.5,Hurn
12.75,Hurn
16.55,Hurn
17,Hurn
18.9,Hurn
15.65,Hurn
16.4,Hurn
17.6,Hurn
14.5,Hurn
14.95,Hurn
12.6,Hurn
9.5,Hurn
8.25,Hurn
7.5,Hurn
9.6,Hurn
7.5,Hurn
11.9,Hurn
10.1,Hurn
10.75,Hurn
15.5,Hurn
15.9,Hurn
15.35,Hurn
13.55,Hurn
10.95,Hurn
10.95,Hurn
9.55,Hurn
8.55,Hurn
7.95,Hurn
9.35,Hurn
10.3,Hurn
7.6,Hurn
12.3,Hurn
10.75,Hurn
12.15,Hurn
13.9,Hurn
14.65,Hurn
14.2,Hurn
12.65,Hurn
7.5,Hurn
5.1,Hurn
6.05,Hurn
6.3,Hurn
6.95,Hurn
10.55,Hurn
7.9,Hurn
5.25,Hurn
8.1,Hurn
11.35,Hurn
8.7,Leuchars
4.75,Leuchars
6.5,Leuchars
9.3,Leuchars
11.55,Leuchars
10.8,Leuchars
11.3,Leuchars
11.95,Leuchars
11.1,Leuchars
8,Leuchars
11.8,Leuchars
7.65,Leuchars
7.65,Leuchars
7.05,Leuchars
7.4,Leuchars
7.35,Leuchars
8.15,Leuchars
9.05,Leuchars
11.5,Leuchars
11.05,Leuchars
12.15,Leuchars
8.95,Leuchars
7.55,Leuchars
6.65,Leuchars
8.2,Leuchars
7.5,Leuchars
8.5,Leuchars
8.95,Leuchars
10.3,Leuchars
12.75,Leuchars
13.45,Leuchars
12.8,Leuchars
9.75,Leuchars
8.8,Leuchars
10,Leuchars
10.35,Leuchars
10.75,Leuchars
11.8,Leuchars
9.25,Leuchars
9.8,Leuchars
9.7,Leuchars
8.95,Leuchars
8.2,Leuchars
8.75,Leuchars
8.7,Leuchars
9.25,Leuchars
10.2,Leuchars
10.8,Leuchars
9.05,Leuchars
10.95,Leuchars
11.05,Leuchars
11.15,Leuchars
12.2,Leuchars
12.1,Leuchars
12.7,Leuchars
10.65,Leuchars
10.2,Leuchars
11.9,Leuchars
16.45,Leuchars
15.8,Leuchars
15.45,Leuchars
14.95,Leuchars
14.05,Leuchars
15.8,Leuchars
17.85,Leuchars
19.05,Leuchars
18.05,Leuchars
14.05,Leuchars
12.5,Leuchars
12.55,Leuchars
14.5,Leuchars
16.35,Leuchars
13.05,Leuchars
13.05,Leuchars
15,Leuchars
14.2,Leuchars
13.65,Leuchars
12.8,Leuchars
12.2,Leuchars
13.6,Leuchars
15.55,Leuchars
16.1,Leuchars
11.7,Leuchars
16.05,Leuchars
15.05,Leuchars
13,Leuchars
10.75,Leuchars
14.8,Leuchars
15.45,Leuchars
15.7,Leuchars
15.75,Leuchars
17.05,Leuchars
15.35,Leuchars
14.2,Leuchars
11.95,Leuchars
10.7,Leuchars
11.3,Leuchars
11.1,Leuchars
12.8,Leuchars
13.8,Leuchars
12.9,Leuchars
13.15,Leuchars
11.1,Leuchars
15.1,Leuchars
16.95,Leuchars
15.85,Leuchars
15.3,Leuchars
19.05,Leuchars
17.35,Leuchars
16,Leuchars
14,Leuchars
18.55,Leuchars
15.8,Leuchars
12.95,Leuchars
13.7,Leuchars
10.9,Leuchars
13.9,Leuchars
12.4,Leuchars
14.55,Leuchars
16.7,Leuchars
14.65,Leuchars
15,Leuchars
14.8,Leuchars
15.5,Leuchars
11.75,Leuchars
17,Leuchars
15.05,Leuchars
14.9,Leuchars
13,Leuchars
13.2,Leuchars
11.9,Leuchars
12.55,Leuchars
11.25,Leuchars
12.9,Leuchars
14,Leuchars
13.55,Leuchars
12.4,Leuchars
11.25,Leuchars
11.25,Leuchars
11.7,Leuchars
11.2,Leuchars
10,Leuchars
11.8,Leuchars
14.5,Leuchars
13.25,Leuchars
13.35,Leuchars
10.85,Leuchars
8.05,Leuchars
8.75,Leuchars
6.95,Leuchars
7.1,Leuchars
9.2,Leuchars
7.95,Leuchars
11.5,Leuchars
12.1,Leuchars
11.4,Leuchars
9.5,Leuchars
11.8,Leuchars
11.15,Leuchars
7.1,Leuchars
8.1,Leuchars
6.45,Leuchars
6.2,Leuchars
7,Leuchars
5.4,Leuchars
4.4,Leuchars
5.4,Leuchars
4.55,Leuchars
7.9,Leuchars
9.15,Leuchars
9.35,Leuchars
7.55,Leuchars
8.3,Leuchars
11.7,Leuchars
9.25,Leuchars
5.5,Leuchars
4.85,Leuchars
7.75,Leuchars
10.5,Leuchars
8.15,Leuchars
6.55,Leuchars
4.5,Leuchars
5.65,Leuchars
5.85,Leuchars
